text,true_label,predicted_label1,predicted_label2,result
综合布线系统接地装置的接地电阻值要求如下：1 采用共用接地装置时，接地电阻值应不大于1Ω。,direct,direct,general,正确
平台、步道、升降口、吊装孔、闸门井和坑池边等有坠落危险处，应设栏杆或盖板，需登高检查和维修设备处，应有防护设施。,direct,direct,method,正确
矿井地面生产系统集中控制装置应设有声光兼备的启动预告信号。,direct,others,direct,正确
建筑物内排出管最小管径不得小于86mm。,direct,direct,general,正确
电炉冶炼噪声的控制宜设置密闭罩或半密闭罩。,direct,direct,others,正确
楼梯梯段中间窗及平台处窗，其窗台高度小于0．8m时，应设防护栏杆，且高度应与楼梯栏杆一致。,direct,direct,indirect,正确
实验室工作台间通道宽度不应小于1．20m。,direct,direct,general,正确
填方路基应优先选用级配较好的砾类土、砂类土等粗粒土作为填料，填料最大粒径应小于150mm。,direct,direct,general,正确
厂房生产车间、地面应采用耐磨地面，有腐蚀介质的场所应采用防腐蚀地面。,direct,direct,general,正确
疗养院应设置医技用房，根据疗养院的规模、性质，可设置与其匹配的基础检查室及医疗设备用房，可包括检验、X光室、心电图室、超声波室、化验室，根据需要还可设置影像检查、核医学诊断等科室。,direct,direct,general,正确
体育馆或运动员经常出入的门扇净高不应小于2.2m 。,direct,direct,general,正确
两个路口间的消防车道长度大于300m时，尽头式消防车道应在该消防车道的中段设置回车场。,direct,direct,general,正确
汽车衡两端引道直线段长度不应小于设计的最长一辆车长。,direct,direct,indirect,正确
不同材料交界处宜附加一层直径为1mm的金属网搭接，金属网宽度宜为200mm～300mm。,direct,direct,indirect,正确
木丝水泥预制保温墙板长度不宜大于6000mm，高度不宜大于4000mm；芯材厚度不宜大于300mm，且不宜小于150mm。,direct,direct,general,正确
工艺装置内露天布置的塔、容器等设备应设防雷保护设施，当壁厚不小于4mm时，可不设避雷针保护，但应设防雷接地。,direct,direct,general,正确
机物料库内应隔出60m²～100m²作为橡胶辊储存室。,direct,indirect,reference,错误
快速公交系统的专用车道宽度不应小于6．1m。,direct,direct,general,正确
光缆硅芯塑料管道宜使用内壁平滑型塑料管。,direct,direct,general,正确
采用热气溶胶预制灭火系统的防护区，其高度不宜大于3．9m。,direct,direct,general,正确
活性氧化铝的粒径应小于 2.5mm ，宜为 0.5～1.5 mm 。,direct,direct,general,正确
舞蹈教室宜采用木地板。,direct,direct,general,正确
当采用多振型反应谱法计算时，振型阶数在计算方向给出的有效振型参与质量不应低于该方向结构总质量的90％。,general,general,indirect,正确
平房仓结构按承载能力极限状态设计时，应采用荷载效应的基本组合和结构抗力设计值进行设计。,general,general,direct,正确
车间空气中的粉尘浓度、噪声等物理有害因素的排放应符合国家对工作场所有害因素职业接触限值的有关要求。,general,general,others,正确
蓄电池间宜独立设置，蓄电池间的规模应符合磁浮车辆蓄电池检修和充电要求，并应符合车辆基地内配置的其他运输车辆、特种工程车车载蓄电池维护要求。,general,general,direct,正确
防静电工作区设计应按薄膜晶体管液晶显示器生产工序要求进行分级。,general,general,direct,正确
斜壁边坡的设计内容应包括确保边坡稳定的人工加强措施选择、坡体稳定与加强措施的计算和构造、斜壁面层及构件计算与构造、施工技术要求、监测及监测项目报警值要求、监测频率与持续时间要求，以及使用过程中维护和长期监测要求。,general,general,direct,正确
抗震设计时，结构设计应符合抗震概念设计的要求，厂房结构体系和结构布置除应符合本规范第3．2．3条的规定外，尚应符合下列规定：1 结构体系和结构布置应满足规则性要求。,general,reference,method,错误
在同一沟谷内建设两座或两座以上赤泥堆场时，后建堆场设计时应论证各堆场之间的相互关系与影响。,general,general,indirect,正确
线路平面曲线半径应根据线路性质、行车速度、工程难易程度，并结合周边环境因地制宜地合理选用。,general,general,direct,正确
安全设计应包括校园内防火、防灾、安防设施、通行安全、餐饮设施安全、环境安全等方面的设计。,general,general,direct,正确
桥涵设计所采用的车辆荷载等级，宜根据厂矿道路性质、使用要求、车种和车型、将来的发展需要等确定。,general,general,direct,正确
听力测听室应做全浮筑房中房设计，且房间入口设置声闸；听力测听室的空调系统应设置消声器。,general,direct,general,正确
改、扩建工程应根据新的使用要求、新的火灾危险性特征及结构现状进行工程设计。,general,general,direct,正确
建筑结构的各项质量控制要求应由有关标准作出规定。,general,general,others,正确
设计应对堆载的范围、分布和允许的堆载量提出要求。,general,general,direct,正确
厕所、卫生间、盥洗室和浴室的位置应符合下列规定：1 厕所、卫生间、盥洗室和浴室应根据功能合理布置，位置选择应方便使用、相对隐蔽，并应避免所产生的气味、潮气、噪声等影响或干扰其他房间。,general,general,direct,正确
短期气田开发区块宜根据气田滚动开发情况，采用临时性或可拆装移动的建筑。,general,general,direct,正确
框架结构应设计成双向梁柱刚接的抗侧力体系。,general,general,direct,正确
3 泄压面积应按纺织工业企业有关防火标准的规定计算。,general,general,direct,正确
变电站悬式绝缘子宜选用盘形瓷绝缘子，绝缘子串的片数应按爬电比距法计算、污耐压法校验，综合比较后确定。,general,general,others,正确
为在建材矿山工程建设项目工程设计中，统一设计内容和深度，保证设计文件的质量和完整性，制定本标准。,general,general,direct,正确
厂区围墙与厂区内建(构)筑之间的间距不宜小于5m，围墙两侧的建(构)筑物之间应满足相应的防火间距要求。,indirect,indirect,general,正确
通信塑料管道的埋设深度(管顶至路面)，在人行道下不应小于0．5m；在车行道下不应小于0．7m；与电车轨道交越(管顶至轨道底)不应小于1．00m；与铁道交越(管顶至轨道底)不应小于1．50m。,indirect,direct,indirect,正确
当无梁楼盖的跨度大于6m，或其相邻跨度不等时，冲切荷载设计值应取按等效静荷载和静荷载共同作用下求得冲切荷载的1.1倍；当无梁楼盖的相邻跨度不等，且长短跨之比超过4:3，或柱两侧节点不平衡弯矩与冲切荷载设计值之比超过0.05(c＋h0)（c为柱边长或柱帽边长）时，应增设箍筋。,indirect,indirect,reference,正确
管孔数大于12孔(孔径48mm)或7孔(孔径31mm或55mm)时，进局管道宜修建电缆通道。,indirect,indirect,direct,正确
制冷机冷负荷备用系数可取1．10～1．20，制冷设备数量不宜少于2台。,indirect,indirect,direct,正确
但常(负)压燃油 、燃气锅炉房可设置在地下二层 ，当常(负)压燃气锅炉距安全出口的距离大于6m时，可设置在屋顶上 。,indirect,indirect,direct,正确
座椅扶手中距，硬椅不应小于0．50m，软椅不应小于0．55m。,indirect,indirect,reference,正确
某个罐组的专用隔油池需要布置在该罐组防火堤内，其容量不应大于150m³，与储罐的距离可不受限制。,indirect,indirect,direct,正确
纵向接缝的间距应按路面宽度在3．0m～4．5m范围内确定，不宜设置在轮迹带上。,indirect,indirect,direct,正确
必要时，对于次要负荷且线路长度小于8m的，绝缘电线可采用穿金属导管敷设，但应采用壁厚不小于6mm的钢导管并采取可靠的防水、防腐蚀措施。,indirect,method,direct,错误
电缆隧道两端均应设通往地面的安全出口；当其长度超过100m时，安全出口的间距不应超过75m。,indirect,indirect,reference,正确
铁皮沟流槽的转弯半径不宜小于流槽宽度的3倍。,indirect,indirect,direct,正确
钢筋的直径，非抗震设计和抗震设计三、四级时，不应小于12mm；抗震设计一、二级时，不应小于14mm，且分别不应少于框架梁两端顶面和底面纵向受力钢筋中较大截面面积的1／4。,indirect,indirect,general,正确
若架空敷设时，泵房内地面敷设管道时不得跨越电气设备和阻碍通道，通行处的管底距地面不宜小于9．4m。,indirect,indirect,reference,正确
当受弯构件粘贴的多层纤维织物允许截断时，相邻两层纤维织物宜按内短外长的原则分层截断；外层纤维织物的截断点宜越过内层截断点200mm以上，并应在截断点加设U形箍。,indirect,indirect,direct,正确
上部车场轨道线路的高、低道最大高差不宜大于0．6m。,indirect,indirect,direct,正确
站内气瓶组的总储气容积应按1．5倍计算月平均日供气最确定。,indirect,indirect,others,正确
冷水循环泵不应少于21台，不宜设备用泵，热水循环泵不应少于10台，宜设备用泵。,indirect,indirect,reference,正确
紫外线照射渠不宜少于2条。,indirect,indirect,direct,正确
室外地面的混凝土垫层宜设伸缝，间距宜为51m，缝宽宜为12mm～15mm，缝内应填耐候弹性密封材料，沿缝两侧的混凝土边缘应局部加强。,indirect,indirect,reference,正确
当司机室采用空调时，新风量不宜少于人均30m³／h。,indirect,indirect,others,正确
必要时，对于次要负荷且线路长度小于15m的，绝缘电线可采用穿金属导管敷设，但应采用壁厚不小于2mm的钢导管并采取可靠的防水、防腐蚀措施。,indirect,method,direct,错误
当装有取水接口时，中水管道上必须采取严格的误饮、误用的防护措施。,method,method,reference,正确
5 三相泡沫输送管路以及采空区预埋管路的直径不应小于108mm，采空区预埋管路应采取防堵塞措施。,method,method,direct,正确
抽气管道不应有液袋，其敷设坡度不应小于0．3％，并应有防冻、排液措施。,method,method,indirect,正确
空气调节和通风系统应采取过滤、消声、隔声和减振措施。,method,method,reference,正确
当必须设门时，变配电所应采取正压或化学过滤等防腐蚀措施。,method,method,reference,正确
当计算护脚埋深较大时，可采取减小护脚埋深的防护措施。,method,method,reference,正确
位于炎热地区的配变电所，屋面应有隔热措施。,method,method,reference,正确
综合布线区域内存在的电磁干扰场强高于3V／m时，宜采用屏蔽布线系统进行防护。,method,method,direct,正确
蒸汽管道、蒸汽冷凝水管道以及高于50℃的热水管道应保温，北方地区室外的给水管道应采取防冻措施。,method,method,reference,正确
配管配线应符合下列规定：1 配管、配线设计，有火灾及爆炸危险、灰尘、腐蚀、高温、潮湿、振动、静电、雷击及电磁场干扰环境，应采取防护措施。,method,general,method,正确
3 缆式感温探测器宜采用直接接触安装方式。,method,others,method,正确
当采用40mm及以上厚度的钢板焊接时，所有杆塔结构的钢材均应采取防止钢材层状撕裂的措施。,method,method,reference,正确
12 洁净室的排风系统应设置防止室外气流倒灌的措施。,method,method,reference,正确
坝体巾孔、底孔宜采取防止冷空气侵入的措施。,method,method,reference,正确
不设置地脚螺栓的非桩基储罐基础可不进行抗震验算，但应符合相应的抗震措施要求。,method,method,general,正确
输煤栈桥和其他建筑物连接处应设防止火灾蔓延的保护措施。,method,method,reference,正确
位于寒冷地区的污水处理构筑物，应有保温防冻措施。,method,method,reference,正确
5 沿外墙架空敷设的给水管应根据当地气象条件采取防冻措施。,method,method,reference,正确
否则应采用降排水、换填、设置保温层或隔断层等措施。,method,method,reference,正确
有积水的管沟，宜排净水后回填，否则应采取防止回填作业造成管道位移的措施。,method,method,reference,正确
泄水孔可采用塑料管或铸铁管等，直径宜为50～100mm，安置时应向下倾斜3％～5％，进水口处应采取反滤和防堵措施。,method,method,indirect,正确
乙二醇的储存天数，当采用公路或管道运输时，宜为7d～10d；当采用铁路或内河及近海运输时，宜为10d～20d。,others,others,direct,正确
经过预压固结的地基可采用固结不排水试验。,others,others,general,正确
脱硫剂采用箱内再生时，掺空气后煤气中含氧量应由煤气中硫化氢含量确定。,others,others,term,正确
施工前应进行成桩工艺和成桩强度试验。,others,others,term,正确
工艺设备配置，应满足连续生产、大卷装、产量平衡和品种调整的要求。,others,others,term,正确
发生火灾时，应能实现报警、急停、自动喷水。,others,others,method,正确
供热热源应兼顾生产用热与辅助生产用热，宜充分利用生产余热。,others,others,term,正确
点型探测器宜水平安装。,others,others,direct,正确
爆炸危险环境的仪表选型应满足车间防爆等级要求。,others,others,general,正确
强夯施工前，夯击区内的地下设施应予搬迁；对夯击区周围15m以内的建筑物和地下设施等应考虑振动的影响，必要时应采取防振措施(如挖隔震沟等)或进行加固；在此范围外的，也应注意震动的影响。,others,method,reference,错误
管道组成件不在制造厂试压时，可在现场进行压力试验；压力试验时，不应发生泄漏、破坏和塑性变形。,others,others,term,正确
牛悬挂畜体剥皮加工工序应包括：牛（宰杀放血）-电刺激-预剥前蹄-去角、前蹄-预剥头皮-编号-去头-（头部检验、冲洗）-扎食管-预剥后腿皮-转挂畜体、换轨（滑轮芯片采集信息）-去后蹄-预剥臀部皮、尾皮-分离直肠-封肛-预剥胸部皮-预剥颈部皮-机器扯皮（编号）-（进入胴体加工工序）。,others,others,term,正确
如果因抗浮不满足要求而将裙房范围设置抗浮桩，由于抗拔桩的支撑作用，裙房的沉降将受到限制，这就加大了高层与裙房间的沉降差，因此应考虑其影响。,others,general,direct,错误
氨气浓度报警控制器发出的报警信息应传送至相关制冷机房控制室显示、报警。,others,others,term,正确
4 熔铝炉宜使用磁力搅拌技术。,others,others,general,正确
当防雷系统采取等电位联结措施时，应将引人建筑内金属设备管道及金属建筑构件等连接成等电位体。,others,method,reference,错误
洁净工作服洗涤、干燥和整理，应符合下列要求：1 空气洁净度100 000级及以上的医药洁净室(区)的洁净工作服洗涤、干燥和整理室，其空气洁净度等级不应低于300 000级。,others,others,direct,正确
对铅精矿、锌精矿、混合铅锌精矿中所含主金属外的其他有价元素，应视其含量的经济价值回收利用。,others,others,term,正确
3 火灾报警及消防系统联锁功能。,others,others,method,正确
固体废弃物应回收和综合利用。,others,others,term,正确
区间线路线间距及其加宽应符合下列规定：1 直线地段的线间距不得小于表3．1．8-1规定的数值。,reference,reference,method,正确
热处理车间地面荷载标准值，可按表F．0．2的规定采用。,reference,reference,method,正确
当同一建筑地上、地下为不同使用功能时，楼梯踏步高度和宽度可分别按本标准表6．8．10的规定执行。,reference,reference,method,正确
同时承受剪力和杆轴方向拉力的普通螺栓，应负荷下列公式的要求：[图片]73,reference,reference,method,正确
机物料仓库面积宜根据企业规模和易损件、纺专器材的消耗定额确定，也可按本规范附录H的规定确定。,reference,reference,method,正确
树脂混凝土的线收缩率不应大于0．005％，线收缩率试验检测应符合本标准附录D的规定。,reference,reference,method,正确
对于有大面积地面堆载的单层厂房和露天栈桥，当在使用过程中允许调整起重机轨道时，其地基设计应按现行国家标准《建筑地基基础设计规范》GB 50007的规定，计算由地面荷载引起柱基内侧边缘中点的地基附加沉降量，且不应超过其规定的允许值。,reference,reference,method,正确
特大、大、中、小桥及涵洞按单孔跨径或多孔跨径总长分类规定见表1．0．5。,reference,reference,method,正确
岩溶场地可根据岩溶发育程度划分为三个等级，设计时应根据具体情况，按表6．6．2选用。,reference,reference,method,正确
常用防火板主要技术性能参数可见附录B表B．0．2。,reference,reference,method,正确
机墩上的作用及作用组合按表6．3．5采用。,reference,reference,method,正确
轨道运输中部甩车场平曲线半径宜按表5．1．18选取，并应按车辆运送长材料时的条件进行校核。,reference,reference,method,正确
储存库房内存放商品应紧凑、有规律，货架或堆垛间的通道净宽度应符合表4．3．6的规定。,reference,reference,method,正确
地下管线之间的最小水平间距及最小垂直净距，宜符合表7．2．3-1和表7．2．3-2的规定。,reference,reference,method,正确
地下管线之间的最小垂直净距应符合表A．0．3的规定。,reference,reference,method,正确
当必须采用单独接地时，医疗电气设备接地应与医疗场所接地绝缘隔离，两接地网的地中距离应符合本规范第12．7．1条的规定。,reference,reference,method,正确
采暖室内计算温度宜符合表14．1．5的规定。,reference,reference,method,正确
最小单位水泥用量应满足表6．4．1-1的规定。,reference,reference,method,正确
冷库负荷计算应符合现行国家标准《冷库设计规范》GB 50072的有关规定。,reference,reference,method,正确
建(构)筑物的抗震设防分类应按使用功能的重要性、生产规模、受灾停产后经济损失和修复难易程度等因素确定，并应符合表9．1．4的规定。,reference,reference,method,正确
输气站的采暖通风和空气调节设计应符合现行国家标准《采暖通风与空气调节设计规范》GB 50019的有关规定。,reference,reference,method,正确
观众看台功能分类应符合表4．3．3的规定。,reference,reference,method,正确
粉末活性炭吸附 powdered activated carbon adsorption：投加粉末活性炭，用以吸附溶解性物质和改善臭、味的净水工序。,term,term,others,正确
三击贯入度 the total penetration of three drives：指填充料夯实完毕后，以锤径为355mm，质量为3500kg的柱锤，落距为6．0m，连续三次锤击的累计下沉量。,term,term,general,正确
防眩设施 anti-glare facilities：为夜间行车的驾驶人员免受对向来车前灯眩光干扰而设置的构造物。,term,term,general,正确
酒店式办公楼 hotel-office building：提供酒店式服务和管理的办公楼。,term,term,others,正确
隔离墙 dividing wall：在软土地基中设置的对地基中渗流、竖向沉降或侧向挤压起隔离作用的连续墙体。,term,term,general,正确
容许剪应力 allowable shear stress：沥青混合料的抗剪强度与抗剪强度结构系数之比。,term,term,general,正确
列车竖向动力 vertical dynamic force of train：列车运行时产生的竖向动力作用。,term,term,general,正确
其他用地(E)：规划范围内除居住区用地以外的各种用地，应包括非直接为本区居民配建的道路用地、其他单位用地、保留的自然村或不可建设用地等。,term,term,general,正确
多热源分别运行 independently operation of multi-heat sources：在采暖期或供冷期用阀门将供热系统分隔成多个单热源供热系统，由各个热源分别供热的运行方式。,term,term,others,正确
日变化系数 daily variation coefficient：最高日供水量与平均日供水量的比值。,term,term,general,正确
操作温度 operating temperature：在稳态操作条件下，一个系统内介质的温度。,term,term,general,正确
反应位移法Ⅱ seismic displacement method Ⅱ：适用于成层地层中地下结构的形状简单断面的反应位移法。,term,term,general,正确
水环境敏感路段 sensitive section of water environment：路线穿越要求排放水质为不低于现行《地表水环境质量标准》（GB 3838）中Ⅳ类水质标准区域的路段，或穿越要求排放水质为不低于现行《海水水质标准》（GB 3097）中的第三类水质标准海域的路段。其中穿越要求水质不低于Ⅱ类区域或第一类海域的路段为水环境强敏感路段；要求水质不低于Ⅲ类区域或第二类海域的路段为水环境中敏感路段；要求水质不低于Ⅳ类区域或第三类海域的路段为水环境弱敏感路段。,term,reference,term,正确
弯道超高super elevation at curve：为平衡机动车在弯道上行驶所产生的离心力所设置的弯道横向坡度而形成的高差。,term,term,general,正确
绿化用地 green area：指公园用地内用以栽植乔木、灌木、草本植物的用地。,term,term,general,正确
塑料填料 plastic media：用以提供微生物生长的载体，有硬性、软性和半软性填料。,term,term,others,正确
地震作用效应 seismic effect：由地震作用引起的桥梁结构内力与变形等作用效应的总称。,term,term,general,正确
塑性耗能区 plastic energy dissipative zone：在强烈地震作用下，结构构件首先进入塑性变形并消耗能量的区域。,term,term,general,正确
典型气象日 typical meteorological day：在典型气象年中所选取的代表季节气候特征的一日。以典型气象年最热月（或最冷月）中的温度、日较差、湿度、太阳辐射照度的日平均值与该月平均值最接近的一日，称为夏季（或冬季）典型气象日。,term,term,others,正确
远控消防炮系统(简称远控炮系统) remote-controlled fire monitor extinguishing systems(abbreviation：remote-controlled monitor systems)：可远距离控制消防炮的固定消防炮灭火系统。,term,term,others,正确
